iter	Logloss
0	0.6727814449
1	0.6534557357
2	0.6363199036
3	0.6200867563
4	0.6041834556
5	0.5907102867
6	0.5761807435
7	0.5625457698
8	0.5531607168
9	0.5426869691
10	0.5316294098
11	0.5218304676
12	0.5120812528
13	0.5027112287
14	0.4949104334
15	0.4880184378
16	0.4798491479
17	0.4737429609
18	0.4690941478
19	0.4629809889
20	0.4566726106
21	0.4498696607
22	0.4452299203
23	0.4408775133
24	0.4363639813
25	0.4318119197
26	0.426532355
27	0.4221975052
28	0.4185672146
29	0.4149795256
30	0.4114193509
31	0.4086802606
32	0.405221298
33	0.4021041346
34	0.3997450735
35	0.3963386289
36	0.3950301222
37	0.3921038715
38	0.3891312732
39	0.3878686517
40	0.3860701136
41	0.3838337056
42	0.3826661992
43	0.3810419608
44	0.3796622524
45	0.3781670923
46	0.3764904687
47	0.3747249407
48	0.3730707868
49	0.3717258002
50	0.3705379974
51	0.3687348544
52	0.3669854057
53	0.3664056677
54	0.3652061754
55	0.3638897662
56	0.3628318547
57	0.3618370128
58	0.360742758
59	0.359772557
60	0.3589758363
61	0.3581382094
62	0.3569925975
63	0.3562923337
64	0.3552014513
65	0.3544638269
66	0.3533818049
67	0.352553606
68	0.3516713873
69	0.3509401506
70	0.3500182577
71	0.3493617487
72	0.3484868924
73	0.347831546
74	0.3470899057
75	0.3464912434
76	0.3459349235
77	0.3453142137
78	0.3448318914
79	0.3442632654
80	0.343495779
81	0.3430613641
82	0.3422741708
83	0.3418238004
84	0.3411627069
85	0.3404891715
86	0.3399924007
87	0.3394462566
88	0.3387849099
89	0.3383801463
90	0.3379472265
91	0.3374712889
92	0.3368967921
93	0.336429998
94	0.3364077975
95	0.3359702531
96	0.3354191636
97	0.3352275092
98	0.3348196825
99	0.3343836505
100	0.3341697444
101	0.3337920921
102	0.333606605
103	0.3332363356
104	0.3329785892
105	0.3327150128
106	0.3324836226
107	0.3322825441
108	0.3318789615
109	0.3316532559
110	0.3313946084
111	0.3312597716
112	0.3310179551
