iter	Passed	Remaining
404	9689	14235
405	9709	14205
406	9730	14176
407	9751	14149
408	9771	14119
409	9793	14092
410	9813	14063
411	9834	14035
412	9854	14006
413	9875	13978
414	9897	13951
415	9906	13907
416	9926	13878
417	9947	13850
418	9968	13823
419	9992	13799
420	10014	13772
421	10037	13748
422	10058	13720
423	10078	13691
424	10100	13664
425	10119	13635
426	10140	13608
427	10160	13579
428	10181	13551
429	10204	13526
430	10225	13499
431	10245	13470
432	10266	13443
433	10285	13414
434	10308	13388
435	10330	13363
436	10352	13337
437	10372	13308
438	10391	13279
439	10414	13255
440	10436	13228
441	10456	13201
442	10479	13175
443	10501	13151
444	10523	13125
445	10546	13099
446	10567	13073
447	10587	13045
448	10608	13018
449	10628	12990
450	10649	12964
451	10669	12936
452	10690	12908
453	10711	12882
454	10729	12852
455	10751	12826
456	10771	12799
457	10793	12772
458	10822	12756
459	10861	12750
460	10893	12737
461	10916	12711
462	10938	12686
463	10961	12662
464	10980	12633
465	11000	12605
466	11024	12582
467	11046	12556
468	11069	12532
469	11089	12505
470	11110	12478
471	11132	12453
472	11154	12428
473	11173	12399
474	11195	12373
475	11216	12347
476	11249	12334
477	11270	12307
478	11291	12281
479	11311	12254
480	11332	12227
481	11352	12200
482	11373	12173
483	11394	12148
484	11414	12120
485	11436	12095
486	11457	12069
487	11477	12042
488	11498	12015
489	11520	11990
490	11541	11964
491	11563	11939
492	11583	11912
493	11603	11885
494	11624	11859
495	11652	11840
496	11685	11826
497	11707	11801
498	11727	11774
499	11750	11750
500	11771	11724
501	11793	11699
502	11814	11673
503	11835	11647
504	11857	11622
505	11878	11596
506	11899	11570
507	11919	11544
508	11940	11517
509	11963	11494
510	11984	11468
511	12005	11442
512	12028	11418
513	12047	11390
514	12070	11367
515	12090	11340
516	12110	11314
517	12130	11287
518	12151	11261
519	12175	11238
520	12196	11213
521	12216	11187
522	12238	11162
523	12262	11139
524	12283	11113
525	12302	11086
526	12322	11059
527	12341	11032
528	12362	11006
529	12382	10980
530	12403	10954
531	12424	10930
532	12444	10903
533	12467	10879
534	12487	10853
535	12507	10827
536	12528	10801
537	12548	10775
538	12568	10749
539	12590	10724
540	12610	10699
541	12631	10673
542	12656	10651
543	12679	10628
544	12701	10604
545	12721	10577
546	12741	10551
547	12762	10526
548	12786	10504
549	12809	10480
550	12831	10456
551	12853	10432
552	12874	10406
553	12896	10381
554	12915	10355
555	12937	10331
556	12971	10316
557	13014	10309
558	13056	10300
559	13092	10286
560	13122	10269
561	13152	10250
562	13177	10228
563	13204	10207
564	13228	10184
565	13253	10162
566	13279	10140
567	13309	10122
568	13333	10099
569	13358	10077
570	13379	10052
571	13400	10027
572	13422	10002
573	13444	9977
574	13464	9952
575	13486	9927
576	13509	9903
577	13528	9877
578	13548	9851
579	13570	9826
580	13590	9801
581	13612	9776
582	13634	9752
583	13655	9727
584	13677	9702
585	13697	9676
586	13720	9653
587	13740	9627
588	13765	9605
589	13788	9581
590	13810	9557
591	13830	9531
592	13851	9506
593	13872	9481
594	13892	9456
595	13914	9431
596	13934	9406
597	13955	9381
598	13975	9355
599	13997	9331
600	14022	9309
601	14048	9287
602	14069	9263
603	14090	9237
604	14110	9212
605	14131	9187
606	14152	9162
607	14173	9138
608	14194	9113
609	14213	9087
610	14235	9062
611	14255	9037
612	14277	9013
613	14298	8988
614	14319	8964
615	14342	8940
616	14365	8917
617	14385	8892
618	14405	8866
619	14426	8842
620	14448	8818
621	14470	8793
622	14491	8769
623	14510	8743
624	14532	8719
625	14553	8695
626	14575	8670
627	14594	8645
628	14615	8620
629	14637	8596
630	14657	8571
631	14679	8547
632	14700	8522
633	14723	8499
634	14743	8474
635	14764	8450
636	14786	8426
637	14805	8400
638	14826	8376
639	14847	8351
640	14868	8327
641	14891	8304
642	14911	8278
643	14932	8254
644	14953	8230
645	14972	8204
646	14994	8180
647	15018	8158
648	15038	8133
649	15061	8110
650	15100	8095
651	15130	8075
652	15163	8057
653	15185	8033
654	15205	8008
655	15226	7984
656	15246	7959
657	15268	7936
658	15289	7911
659	15310	7887
660	15334	7864
661	15354	7839
662	15376	7815
663	15398	7792
664	15419	7767
665	15440	7743
666	15461	7718
667	15483	7695
668	15503	7670
669	15523	7645
670	15543	7621
671	15565	7597
672	15589	7574
673	15612	7551
674	15635	7528
675	15654	7502
676	15676	7479
677	15697	7455
678	15719	7431
679	15738	7406
680	15758	7381
681	15781	7358
682	15802	7334
683	15825	7311
684	15845	7286
685	15867	7263
686	15890	7239
687	15911	7215
688	15931	7190
689	15950	7166
690	15969	7141
691	15992	7118
692	16016	7095
693	16054	7078
694	16082	7057
695	16107	7035
696	16129	7011
697	16151	6988
698	16173	6964
699	16195	6941
700	16218	6917
701	16240	6894
702	16261	6870
703	16285	6847
704	16307	6823
705	16328	6799
706	16350	6776
707	16371	6752
708	16393	6728
709	16415	6704
710	16435	6680
711	16457	6656
712	16492	6638
713	16518	6616
714	16539	6592
715	16561	6569
716	16583	6545
717	16602	6520
718	16634	6500
719	16656	6477
720	16680	6454
721	16701	6430
722	16724	6407
723	16747	6384
724	16768	6360
725	16789	6336
726	16810	6312
727	16830	6288
728	16852	6264
729	16871	6240
730	16893	6216
731	16912	6192
732	16933	6168
733	16953	6143
734	16973	6119
735	16998	6097
736	17019	6073
737	17041	6050
738	17062	6026
739	17084	6002
740	17105	5978
741	17128	5955
742	17145	5930
743	17165	5906
744	17186	5882
745	17205	5858
746	17243	5840
747	17263	5816
748	17292	5794
749	17312	5770
750	17333	5746
751	17350	5721
752	17369	5697
753	17388	5673
754	17408	5648
755	17425	5624
756	17446	5600
757	17465	5576
758	17485	5552
759	17506	5528
760	17526	5504
761	17547	5480
762	17567	5456
763	17586	5432
764	17604	5407
765	17625	5384
766	17645	5360
767	17664	5336
768	17685	5312
769	17705	5288
770	17724	5264
771	17743	5240
772	17760	5215
773	17777	5190
774	17797	5166
775	17818	5143
776	17839	5119
777	17859	5096
778	17877	5071
779	17896	5047
780	17914	5023
781	17933	4999
782	17952	4975
783	17972	4951
784	17994	4928
785	18015	4905
786	18035	4881
787	18054	4857
788	18073	4833
789	18093	4809
790	18113	4785
791	18132	4762
792	18149	4737
793	18171	4714
794	18190	4690
795	18211	4667
796	18231	4643
797	18248	4619
798	18265	4595
799	18285	4571
800	18301	4546
801	18321	4523
802	18339	4499
803	18358	4475
804	18377	4451
805	18397	4428
806	18416	4404
807	18436	4380
808	18453	4356
809	18473	4333
810	18493	4309
811	18514	4286
812	18535	4263
813	18553	4239
814	18573	4216
815	18591	4192
816	18613	4169
817	18633	4145
818	18652	4122
819	18670	4098
820	18689	4074
821	18709	4051
822	18730	4028
823	18747	4004
824	18765	3980
825	18786	3957
826	18806	3934
827	18828	3911
828	18847	3887
829	18866	3864
830	18883	3840
831	18902	3816
832	18921	3793
833	18940	3769
834	18957	3746
835	18977	3722
836	18999	3700
837	19018	3676
838	19049	3655
839	19067	3631
840	19083	3607
841	19104	3584
842	19126	3562
843	19145	3538
844	19164	3515
845	19184	3492
846	19204	3469
847	19225	3446
848	19242	3422
849	19260	3398
850	19278	3375
851	19295	3351
852	19322	3329
853	19351	3308
854	19371	3285
855	19393	3262
856	19415	3239
857	19435	3216
858	19453	3193
859	19473	3170
860	19492	3146
861	19511	3123
862	19532	3100
863	19550	3077
864	19569	3054
865	19587	3030
866	19607	3007
867	19627	2984
868	19646	2961
869	19665	2938
870	19683	2915
871	19703	2892
872	19722	2869
873	19742	2846
874	19759	2822
875	19777	2799
876	19793	2776
877	19812	2753
878	19834	2730
879	19854	2707
880	19872	2684
881	19890	2661
882	19909	2638
883	19929	2615
884	19949	2592
885	19968	2569
886	19993	2547
887	20011	2523
888	20030	2500
889	20050	2478
890	20067	2455
891	20085	2431
892	20105	2409
893	20123	2386
894	20142	2363
895	20163	2340
896	20181	2317
897	20202	2294
898	20222	2271
899	20239	2248
900	20258	2225
901	20277	2203
902	20295	2180
903	20312	2157
904	20330	2134
905	20348	2111
906	20368	2088
907	20386	2065
908	20407	2042
909	20426	2020
910	20443	1997
911	20463	1974
912	20483	1951
913	20502	1929
914	20522	1906
915	20539	1883
916	20558	1860
917	20576	1837
918	20595	1815
919	20616	1792
920	20634	1769
921	20652	1747
922	20671	1724
923	20692	1701
924	20709	1679
925	20727	1656
926	20746	1633
927	20765	1611
928	20785	1588
929	20803	1565
930	20822	1543
931	20841	1520
932	20861	1498
933	20878	1475
934	20898	1452
935	20917	1430
936	20932	1407
937	20951	1384
938	20970	1362
939	20991	1339
940	21010	1317
941	21031	1294
942	21044	1272
943	21063	1249
944	21081	1226
945	21102	1204
946	21120	1182
947	21139	1159
948	21158	1137
949	21176	1114
950	21195	1092
951	21215	1069
952	21231	1047
953	21248	1024
954	21266	1002
955	21284	979
956	21304	957
957	21324	934
958	21342	912
959	21361	890
960	21378	867
961	21397	845
962	21419	822
963	21462	801
964	21487	779
965	21513	757
966	21532	734
967	21552	712
968	21570	690
969	21590	667
970	21611	645
971	21632	623
972	21651	600
973	21672	578
974	21691	556
975	21710	533
976	21730	511
977	21748	489
978	21765	466
979	21785	444
980	21805	422
981	21826	400
982	21846	377
983	21864	355
984	21881	333
985	21900	310
986	21919	288
987	21940	266
988	21960	244
989	21980	222
990	22001	199
991	22020	177
992	22041	155
993	22061	133
994	22079	110
995	22099	88
996	22118	66
997	22138	44
998	22157	22
999	22176	0
